annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return,variety,top_k,lookback,threshold
-0.02539565764996743,0.09453080844773737,-0.08561739174501737,0.45714285714285713,-0.2686495341252451,-0.0006336840069344122,36,13,2.6923076923076925,-0.01015589179011378,IF,5,5,0.0
-0.03319371516582148,0.0868734049118892,-0.06079443507335036,0.45161290322580644,-0.38209294547034267,-0.0006899637789796872,31,17,1.8235294117647058,-0.01330636340279534,IF,5,3,0.05
-0.07816424710648129,0.10079365043385737,-0.08841033800466847,0.4722222222222222,-0.7754878087065028,-0.00387345539887278,37,8,4.5,-0.03178093463714515,IF,3,5,0.03
-0.11551653963896868,0.07535355239835513,-0.08121169244624749,0.45161290322580644,-1.5329939460357844,-0.003399516392058068,31,14,2.2142857142857144,-0.047543553800307836,IF,5,5,0.03
-0.13237692104313903,0.10858079309184249,-0.10245496878100724,0.46511627906976744,-1.2191559600340063,-0.007804855502076118,44,7,6.142857142857143,-0.05479020685880731,IF,3,5,0.0
-0.13594557973056953,0.09391598862841347,-0.0923480656254364,0.425,-1.4475232781550083,-0.0018937826026348562,40,30,1.3333333333333333,-0.05633489627698096,IF,5,1,0.03
-0.1386786885432697,0.07153423147786653,-0.08841033800466847,0.4230769230769231,-1.938633933408209,-0.011659757336219734,26,5,5.2,-0.05752052300918453,IF,3,5,0.08
-0.14314003921718188,0.06941042043056879,-0.07891844976500317,0.4,-2.0622269441569627,-0.006703153220852021,25,9,2.7777777777777777,-0.05946074892508513,IF,5,5,0.08
-0.14796679574983385,0.100320420294232,-0.09815336697344212,0.4090909090909091,-1.4749419441810425,-0.0019388704080128168,44,32,1.375,-0.06156676331198929,IF,5,1,0.0
-0.1509945652301452,0.07156965011526578,-0.08504744478843407,0.42857142857142855,-2.1097569289071894,-0.0053266964493246804,28,12,2.3333333333333335,-0.06289151720054764,IF,5,5,0.05
-0.17315677320312772,0.07667807582303235,-0.09337175148393717,0.43333333333333335,-2.258230548230781,-0.012396567362801777,30,6,5.0,-0.07267617497623258,IF,3,5,0.05
-0.17600466658816794,0.09090869477165266,-0.0923480656254364,0.39473684210526316,-1.936059768873176,-0.002705256299830142,38,28,1.3571428571428572,-0.07394494571491728,IF,5,1,0.05
-0.19498463426123225,0.0864940277970077,-0.0923480656254364,0.35294117647058826,-2.254313265637721,-0.003547522322449611,34,24,1.4166666666666667,-0.08246909293011861,IF,5,1,0.08
